Date,item,open,high,low,close,adj_close,volume
2016-03-17,DB하이텍,"16,900","17,100","16,800","16,850","15,136","331,469"
2016-03-18,DB하이텍,"16,800","17,450","16,700","17,450","15,675","317,222"
2016-03-21,DB하이텍,"17,450","17,450","16,550","16,800","15,091","395,214"
2016-03-22,DB하이텍,"16,750","17,200","16,550","17,050","15,316","306,610"
2016-03-23,DB하이텍,"17,100","17,100","16,750","17,000","15,271","224,863"
2016-03-24,DB하이텍,"16,850","17,000","16,750","16,950","15,226","259,253"
2016-03-25,DB하이텍,"16,950","17,000","16,750","16,850","15,136","290,695"
2016-03-28,DB하이텍,"16,900","16,950","15,900","16,000","14,373","533,738"
2016-03-29,DB하이텍,"16,100","17,150","16,100","17,050","15,316","721,053"
2016-03-30,DB하이텍,"17,000","17,750","16,950","17,700","15,900","769,276"
2016-03-31,DB하이텍,"17,700","18,850","17,650","18,050","16,214","927,345"
2016-04-01,DB하이텍,"18,150","18,650","18,000","18,100","16,259","672,384"
2016-04-04,DB하이텍,"18,300","18,500","18,150","18,300","16,439","294,201"
2016-04-05,DB하이텍,"18,300","18,350","17,750","18,150","16,304","293,732"
2016-04-06,DB하이텍,"18,150","18,500","17,900","18,350","16,484","279,164"
2016-04-07,DB하이텍,"18,350","18,550","17,800","18,400","16,529","346,646"
2016-04-08,DB하이텍,"18,100","18,350","17,950","18,000","16,169","196,389"
2016-04-11,DB하이텍,"17,800","18,200","17,400","17,650","15,855","328,856"
2016-04-12,DB하이텍,"17,750","17,950","17,350","17,550","15,765","321,579"
2016-04-14,DB하이텍,"17,450","17,600","16,800","17,400","15,630","615,112"
2016-04-15,DB하이텍,"17,250","17,900","17,150","17,200","15,451","307,817"
2016-04-18,DB하이텍,"17,200","17,550","17,200","17,550","15,765","308,114"
2016-04-19,DB하이텍,"17,700","17,700","17,250","17,400","15,630","202,663"
2016-04-20,DB하이텍,"17,350","18,150","17,300","17,900","16,079","434,237"
2016-04-21,DB하이텍,"17,750","18,850","17,700","18,850","16,933","822,381"
2016-04-22,DB하이텍,"18,900","19,200","18,700","19,000","17,068","457,104"
2016-04-25,DB하이텍,"19,000","19,400","18,750","19,200","17,247","391,607"
2016-04-26,DB하이텍,"19,150","19,300","18,800","19,150","17,202","258,104"
2016-04-27,DB하이텍,"19,200","19,250","18,350","18,750","16,843","429,101"
2016-04-28,DB하이텍,"18,900","19,050","18,550","18,800","16,888","451,625"
2016-04-29,DB하이텍,"18,650","19,500","18,400","19,450","17,472","524,174"
2016-05-02,DB하이텍,"19,450","19,500","18,850","19,000","17,068","275,586"
2016-05-03,DB하이텍,"18,950","19,050","18,350","18,950","17,023","465,299"
2016-05-04,DB하이텍,"18,850","18,850","18,450","18,650","16,753","254,475"
2016-05-09,DB하이텍,"18,800","19,250","18,050","19,000","17,068","543,511"
2016-05-10,DB하이텍,"19,000","19,300","18,500","18,700","16,798","357,196"
2016-05-11,DB하이텍,"18,800","18,800","18,150","18,450","16,574","359,901"
2016-05-12,DB하이텍,"18,250","18,400","18,000","18,100","16,259","358,447"
2016-05-13,DB하이텍,"18,050","18,800","18,000","18,650","16,753","441,205"
2016-05-16,DB하이텍,"18,650","18,650","17,650","18,150","16,304","630,542"
2016-05-17,DB하이텍,"18,250","18,300","17,750","18,100","16,259","512,833"
2016-05-18,DB하이텍,"18,050","19,000","17,400","18,650","16,753","940,805"
2016-05-19,DB하이텍,"18,700","18,950","18,450","18,650","16,753","457,913"
2016-05-20,DB하이텍,"18,650","19,150","18,550","19,050","17,112","435,406"
2016-05-23,DB하이텍,"19,050","19,500","19,050","19,200","17,247","389,177"
2016-05-24,DB하이텍,"19,250","19,400","18,800","19,350","17,382","437,845"
2016-05-25,DB하이텍,"19,500","20,700","19,350","20,700","18,595","1,270,791"
2016-05-26,DB하이텍,"20,900","20,900","19,850","19,900","17,876","762,559"
2016-05-27,DB하이텍,"20,000","20,500","19,750","19,850","17,831","539,455"
